timestamp,usuario,fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas
2025-07-09 07:10:11,BancoPichincha,2025-06-30,¿Tienes 40 segundos? Entérate de #LoNuevoEnBancoPichincha 💛 📲Pagar o cobrar con tu QR es ahora más fácil. 🎓Conoce la mejor iniciativa para empezar tu carrera laboral. 🏫 Voluntariado para apoyar a comunidad de Cayambe.,0,2,9,3,12000
2025-07-09 07:10:11,BancoPichincha,2025-06-19,"🇪🇨 En Ecuador, 6 de cada 10 familias de zonas rurales aún no tienen acceso a agua potable. Conseguirla implica recorrer largas distancias o pagar altos costos.💧 Por eso, Banco Pichincha impulsa Sumar Juntos, iniciativa que ya ha cambiado la vida a más de 26 mil personas. 💛",0,26,124,9,157000
2025-07-09 07:10:11,BancoPichincha,2025-06-16,"Hoy celebramos el esfuerzo de quienes, a pesar de la distancia, siempre están presentes. ✨ Porque detrás de cada envío que realizan, hay más que dinero… hay medicinas, educación, sueños y, sobre todo, ese amor de familia que nunca se pierde. 💛 #DíaInternacionalDeLasRemesas",0,3,29,3,57000
2025-07-09 07:10:11,BancoPichincha,2025-06-12,"¡Celebramos 10 años formando a los líderes del mañana! 🚀 El mejor semillero de talento del país cumple una década. 444 estudiantes han vivido la experiencia de ser trainees durante 6 semanas en Futuros Líderes, una oportunidad que ha marcado su vida profesional. 💛",0,4,117,14,531000
2025-07-09 07:10:11,BancoPichincha,2025-06-03,"Hay jugadores en la cancha… y tú. El número 12. ⚽ El que vibra y sufre cada partido. El que nunca abandona, ni en la gloria ni en la derrota. Has heredado esta pasión y la llevas como bandera. Porque darlo todo por tu equipo, te define. 💛 @BarcelonaSC @LDU_Oficial @UCatolicaEC",0,28,324,12,791000
2025-07-09 07:10:11,BancoPichincha,2025-06-02,Confianza es creer que subir otra vez al podio del #GiroDItalia es posible. 🥉 Gracias @RichardCarapazM por hacernos vivir momentos como estos. 💛 #ElEsfuerzoTeDefine,1,55,770,8,201000
2025-07-09 07:10:11,BancoPichincha,2025-06-01,"Una vez más @RichardCarapazM dejó su huella en la historia del ciclismo. 🥉 ¡Que orgullo verte en el podio del #GiroDItalia, el quinto en una gran vuelta! 🚴‍♂️ No es casualidad. Es levantarse cuando todos piensan que ya lo diste todo. Sí, Locomotora 🚂, #ElEsfuerzoTeDefine",1,55,635,1,77000
2025-07-09 07:10:11,BancoPichincha,2025-05-30,En menos de 1 minuto puedes enterarte de #LoNuevoEnBancoPichincha 💛 💰 Ahorrar a tu ritmo es más fácil gracias a Banca Móvil. 👩🏻‍💼 Seguimos apostando por el emprendimiento femenino. 🏧 Inauguramos un nuevo cajero en Galápagos.,0,2,23,4,81000
2025-07-09 07:10:11,BancoPichincha,2025-05-21,"¡Qué grande eres @RichardCarapazM! 🚂 Lo dejaste todo en la montaña y cruzaste la meta en solitario en la etapa 11 del #GiroDItalia. 🚵 No solo ganaste, volviste a demostrar que nunca hay que dejar de luchar. 💪🏻 El aliento del Ecuador entero te acompaña.🇪🇨 #ElEsfuerzoTeDefine",1,58,473,5,71000
2025-07-09 07:10:11,BancoPichincha,2025-05-15,¡Felicidades @UCatolicaEC! 🩵 Hoy nos unimos a la celebración de los hinchas del #TrencitoAzul que generación tras generación han alentado a la #Chatoleí en estos 62 años. 🎉,0,12,88,2,72000
2025-07-09 07:10:11,BancoPichincha,2025-05-14,"¡Tú eres el jugador 12! ⚽ El que lo da todo por los colores de su equipo en casa, en el estadio y por todo el país. Y esta es una herencia que has convertido en legado, porque el esfuerzo de darlo todo por tu equipo, te define. 💛 @BarcelonaSC @LDU_Oficial @UCatolicaEC",0,22,219,13,689000
2025-07-09 07:10:11,BancoPichincha,2025-05-09,¡Anahí Ortiz es una de las mejores ajedrecistas del continente! 👏 ♟️ Detrás de cada una de sus partidas hay años de sacrificio y perseverancia. Hoy celebramos su segundo lugar en el Campeonato Continental Femenino de Ajedrez de las Américas.🥈🇪🇨 #ElEsfuerzoTeDefine,0,10,52,0,21000
2025-07-09 07:10:11,BancoPichincha,2025-05-09,"Todo empezó con un dibujo, un desayuno, un regalo hecho con amor. 🥰 Lo que parecía un juego, hoy es un sueño cumplido. ✨ Porque confianza es creer, incluso cuando nadie más lo hace… y tú, mamá, confiaste siempre. 💛 ¡Feliz día! 👩🏻‍🍼 #diadelamadre",0,3,25,2,36000
2025-07-09 07:10:11,BancoPichincha,2025-05-08,"Porque #ElEsfuerzoTeDefine, queremos verte de nuevo en lo más alto, @RichardCarapazM 🚂 Pedaleamos contigo en el #GirodItalia 💛",1,10,77,0,27000
