Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:09:57,@BancodelaNacion,55633,17619,236
2025-07-09 07:18:33,@BancodelaNacion,55633,17619,236
2025-07-09 08:27:52,@BancodelaNacion,55631,17619,236
2025-07-09 09:23:25,@BancodelaNacion,55631,17619,236
2025-07-09 10:22:18,@BancodelaNacion,55630,17619,236
2025-07-09 11:17:46,@BancodelaNacion,55630,17619,236
2025-07-09 12:41:09,@BancodelaNacion,55630,17619,236
2025-07-09 15:21:51,@BancodelaNacion,55633,17619,236
2025-07-09 16:24:15,@BancodelaNacion,55634,17619,236
2025-07-09 17:19:38,@BancodelaNacion,55634,17619,236
2025-07-09 18:29:13,@BancodelaNacion,55639,17619,236
2025-07-10 20:22:09,@BancodelaNacion,55647,17619,236
2025-07-10 21:20:20,@BancodelaNacion,55649,17619,236
2025-07-10 22:19:04,@BancodelaNacion,55649,17619,236
2025-07-10 23:19:31,@BancodelaNacion,55649,17619,236
2025-07-11 01:43:46,@BancodelaNacion,55650,17619,236
2025-07-11 03:27:38,@BancodelaNacion,55650,17619,235
2025-07-11 06:30:49,@BancodelaNacion,55648,17619,235
2025-07-11 07:20:54,@BancodelaNacion,55651,17619,235
2025-07-11 08:27:38,@BancodelaNacion,55651,17619,235
2025-07-11 09:22:23,@BancodelaNacion,55648,17619,235
2025-07-11 10:21:36,@BancodelaNacion,55648,17619,235
2025-07-11 12:40:32,@BancodelaNacion,55651,17619,235
2025-07-11 13:32:56,@BancodelaNacion,55651,17619,236
2025-07-11 14:20:09,@BancodelaNacion,55652,17619,236
2025-07-11 15:21:37,@BancodelaNacion,55651,17619,236
2025-07-11 16:25:49,@BancodelaNacion,55651,17619,236
2025-07-11 17:18:42,@BancodelaNacion,55653,17619,236
