Hora,Usuario,Seguidores,Tweets,Following
2025-07-09 07:10:48,@bbva_peru,292087,69811,75
2025-07-09 07:13:15,@bbva_peru,292087,69811,75
2025-07-09 07:18:46,@bbva_peru,292087,69811,75
2025-07-09 08:28:06,@bbva_peru,292081,69811,75
2025-07-09 09:23:40,@bbva_peru,292082,69811,75
2025-07-09 10:22:38,@bbva_peru,292082,69811,75
2025-07-09 11:18:01,@bbva_peru,292082,69811,75
2025-07-09 12:41:25,@bbva_peru,292086,69811,75
2025-07-09 15:22:07,@bbva_peru,292089,69812,75
2025-07-09 16:24:33,@bbva_peru,292090,69812,75
2025-07-09 17:19:53,@bbva_peru,292096,69812,75
2025-07-09 18:29:27,@bbva_peru,292099,69812,75
2025-07-10 20:22:24,@bbva_peru,292104,69815,75
2025-07-10 21:20:38,@bbva_peru,292105,69815,75
2025-07-10 22:19:20,@bbva_peru,292111,69815,75
2025-07-10 23:19:46,@bbva_peru,292111,69815,75
2025-07-11 01:44:00,@bbva_peru,292116,69817,75
2025-07-11 03:27:53,@bbva_peru,292123,69817,75
2025-07-11 06:31:03,@bbva_peru,292127,69817,75
2025-07-11 07:21:09,@bbva_peru,292127,69817,75
2025-07-11 08:27:54,@bbva_peru,292124,69817,75
2025-07-11 09:22:38,@bbva_peru,292124,69817,75
2025-07-11 10:21:52,@bbva_peru,292128,69817,75
2025-07-11 12:40:48,@bbva_peru,292126,69817,75
2025-07-11 13:33:12,@bbva_peru,292123,69817,75
2025-07-11 14:20:24,@bbva_peru,292124,69817,75
2025-07-11 15:21:53,@bbva_peru,292124,69817,75
2025-07-11 16:26:06,@bbva_peru,292125,69817,75
2025-07-11 17:18:57,@bbva_peru,292130,69817,75
2025-07-11 18:28:42,@bbva_peru,292132,69817,75
2025-07-11 19:16:32,@bbva_peru,292130,69817,75
2025-07-11 20:22:30,@bbva_peru,292131,69817,75
2025-07-11 21:19:37,@bbva_peru,292128,69817,75
2025-07-11 22:19:43,@bbva_peru,292130,69817,75
2025-07-11 23:19:41,@bbva_peru,292131,69817,75
2025-07-12 01:45:41,@bbva_peru,292137,69817,75
2025-07-12 03:26:09,@bbva_peru,292141,69818,75
2025-07-12 04:31:19,@bbva_peru,292136,69818,75
2025-07-12 05:20:32,@bbva_peru,292136,69818,75
2025-07-12 06:28:20,@bbva_peru,292133,69818,75
2025-07-12 07:19:15,@bbva_peru,292133,69818,75
2025-07-12 08:24:36,@bbva_peru,292128,69818,75
2025-07-12 09:20:01,@bbva_peru,292128,69818,75
2025-07-12 10:20:03,@bbva_peru,292128,69818,75
2025-07-12 11:17:17,@bbva_peru,292127,69818,75
2025-07-12 12:38:03,@bbva_peru,292128,69818,75
